11,BIRTHDAY,25,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_BIRTHDAY,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_BIRTHDAY_DESC,1,"","",1,1,1,"{""calendar"":true}",10,"0",1,1,1,"0"
12,ADDRESS,23,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_ADDRESS,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_ADDRESS_DESC,1,"","",1,1,1,"",11,"0",1,1,1,"0"
13,TEXTBOX,55,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_MOBILE_PHONE,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_MOBILE_PHONE_DESC,1,"","",1,1,"0","{""placeholder"":""COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_MOBILE_PHONE_DEFAULT""}",12,"0",1,1,1,"0"
14,URL,56,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_WEBSITE,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_WEBSITE_DESC,1,"","",1,1,"0","{""placeholder"":""COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_WEBSITE_DEFAULT""}",13,"0",1,1,1,"0"
15,HEADER-2,40,2,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDUCATION,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDUCATION_DESC,1,"","",1,1,1,"","0","0",1,1,"0","0"
16,TEXTBOX-1,55,2,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDUCATION_COLLEGE_OR_UNIVERSITY,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDUCATION_COLLEGE_OR_UNIVERSITY_DESC,1,"","",1,1,"0","",1,"0",1,1,1,"0"
17,TEXTBOX-2,55,2,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDUCATION_GRADUATION_YEAR,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDUCATION_GRADUATION_YEAR_DESC,1,"","",1,1,"0","",2,"0",1,1,1,"0"
18,HEADER-3,40,3,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_APPEARANCE,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_APPEARANCE_DESC,1,"","",1,1,1,"","0","0",1,1,"0","0"
19,AVATAR,24,3,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PROFILE_PICTURE,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PROFILE_PICTURE_DESC,1,"","",1,1,"0","",1,"0",1,1,"0","0"
20,COVER,29,3,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PROFILE_COVER,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PROFILE_COVER_DESC,1,"","",1,1,"0","",2,"0",1,1,"0","0"
